journal,first_decision,acceptance_rate,first_review,online_publication
<a href='https://www.tandfonline.com/rabd20'>African and Black Diaspora: An International Journal</a>,54,7%,,
"<a href='https://www.tandfonline.com/rajs20'>African Journal of Science, Technology, Innovation and Development</a>",13,22%,86,56
<a href='https://www.tandfonline.com/uafs20'>African Security</a>,52,22%,186,24
<a href='https://www.tandfonline.com/rasr20'>African Security Review</a>,40,36%,56,28
<a href='https://www.tandfonline.com/yaaa20'>Arms & Armour</a>,,,,34
<a href='https://www.tandfonline.com/rapa20'>Asia Pacific Journal of Public Administration</a>,10,18%,50,44
<a href='https://www.tandfonline.com/rage20'>Asian Geographer</a>,49,38%,64,14
<a href='https://www.tandfonline.com/rasi20'>Asian Journal of Political Science</a>,107,7%,106,15
<a href='https://www.tandfonline.com/fasi20'>Asian Security</a>,84,21%,120,21
<a href='https://www.tandfonline.com/fast20'>Astropolitics</a>,138,57%,94,39
<a href='https://www.tandfonline.com/caji20'>Australian Journal of International Affairs</a>,7,19%,50,15
<a href='https://www.tandfonline.com/ramo20'>Australian Journal of Maritime & Ocean Affairs</a>,45,51%,51,14
<a href='https://www.tandfonline.com/cajp20'>Australian Journal of Political Science</a>,0,27%,149,18
<a href='https://www.tandfonline.com/rbec20'>Baltic Journal of Economics</a>,4,6%,96,
<a href='https://www.tandfonline.com/rirt20'>Behavioral Sciences of Terrorism and Political Aggression</a>,46,39%,58,18
<a href='https://www.tandfonline.com/rtbs20'>The Black Scholar</a>,37,55%,108,108
<a href='https://www.tandfonline.com/cbie20'>Bulletin of Indonesian Economic Studies</a>,23,6%,73,53
<a href='https://www.tandfonline.com/ccam20'>Cambridge Review of International Affairs</a>,52,18%,90,21
<a href='https://www.tandfonline.com/rcfp20'>Canadian Foreign Policy Journal</a>,41,51%,97,40
<a href='https://www.tandfonline.com/ccas20'>Central Asian Survey</a>,18,32%,68,41
<a href='https://www.tandfonline.com/ccst20'>Citizenship Studies</a>,38,21%,110,18
<a href='https://www.tandfonline.com/fciv20'>Civil Wars</a>,92,40%,140,36
<a href='https://www.tandfonline.com/tcld20'>Climate and Development</a>,24,15%,108,24
<a href='https://www.tandfonline.com/tcpo20'>Climate Policy</a>,0,21%,96,21
<a href='https://www.tandfonline.com/oass20'>Cogent Social Sciences</a>,28,22%,124,21
<a href='https://www.tandfonline.com/fccp20'>Commonwealth & Comparative Politics</a>,68,21%,99,29
<a href='https://www.tandfonline.com/ucst20'>Comparative Strategy</a>,,,,76
"<a href='https://www.tandfonline.com/ccsd20'>Conflict, Security & Development</a>",,,,29
<a href='https://www.tandfonline.com/uctp20'>Congress & the Presidency</a>,12,40%,65,29
<a href='https://www.tandfonline.com/fcbh20'>Contemporary British History</a>,56,65%,92,19
<a href='https://www.tandfonline.com/rita20'>Contemporary Italian Politics</a>,122,54%,111,17
<a href='https://www.tandfonline.com/ccpo20'>Contemporary Politics</a>,13,19%,82,14
<a href='https://www.tandfonline.com/fcsp20'>Contemporary Security Policy</a>,4,14%,54,14
<a href='https://www.tandfonline.com/rsoc21'>Contemporary Social Science</a>,0,15%,89,17
<a href='https://www.tandfonline.com/rcaf20'>Critical African Studies</a>,115,30%,174,30
<a href='https://www.tandfonline.com/rcms20'>Critical Military Studies</a>,29,29%,92,24
<a href='https://www.tandfonline.com/rcps20'>Critical Policy Studies</a>,53,33%,72,12
<a href='https://www.tandfonline.com/rcri20'>Critical Review</a>,,,,32
<a href='https://www.tandfonline.com/fcri20'>Critical Review of International Social and Political Philosophy</a>,15,40%,83,11
<a href='https://www.tandfonline.com/rcss20'>Critical Studies on Security</a>,46,31%,104,17
<a href='https://www.tandfonline.com/rter20'>Critical Studies on Terrorism</a>,46,21%,73,11
<a href='https://www.tandfonline.com/rcso20'>Critique</a>,35,60%,,70
<a href='https://www.tandfonline.com/gdpe20'>Defence and Peace Economics</a>,41,29%,72,17
<a href='https://www.tandfonline.com/fdef20'>Defence Studies</a>,86,36%,95,15
<a href='https://www.tandfonline.com/cdan20'>Defense & Security Analysis</a>,,,,29
<a href='https://www.tandfonline.com/fdas20'>Democracy and Security</a>,78,38%,101,19
<a href='https://www.tandfonline.com/fdem20'>Democratization</a>,4,34%,48,21
<a href='https://www.tandfonline.com/rdis20'>Distinktion: Journal of Social Theory</a>,54,40%,64,38
<a href='https://www.tandfonline.com/rdac20'>Dynamics of Asymmetric Conflict</a>,54,52%,83,32
<a href='https://www.tandfonline.com/fjcs21'>East European Politics</a>,49,32%,70,21
<a href='https://www.tandfonline.com/fenp20'>Environmental Politics</a>,21,20%,66,18
<a href='https://www.tandfonline.com/reno20'>Ethnopolitics</a>,47,52%,66,33
<a href='https://www.tandfonline.com/ceps20'>European Planning Studies</a>,27,42%,55,12
<a href='https://www.tandfonline.com/rpep21'>European Politics and Society</a>,,,,15
<a href='https://www.tandfonline.com/feus20'>European Security</a>,41,44%,51,21
<a href='https://www.tandfonline.com/rfse20'>Forum for Social Economics</a>,13,26%,70,18
<a href='https://www.tandfonline.com/fgeo20'>Geopolitics</a>,13,23%,74,27
<a href='https://www.tandfonline.com/fgrp20'>German Politics</a>,116,61%,119,21
<a href='https://www.tandfonline.com/rgaf20'>Global Affairs</a>,52,57%,66,22
"<a href='https://www.tandfonline.com/cpar20'>Global Change, Peace & Security</a>",28,23%,76,12
<a href='https://www.tandfonline.com/fglc20'>Global Crime</a>,15,21%,78,18
<a href='https://www.tandfonline.com/cgsj20'>Global Society</a>,55,41%,82,18
<a href='https://www.tandfonline.com/rglo20'>Globalizations</a>,56,39%,113,27
<a href='https://www.tandfonline.com/rhpd20'>Housing Policy Debate</a>,60,42%,76,75
<a href='https://www.tandfonline.com/gide20'>Identities</a>,16,33%,108,15
<a href='https://www.tandfonline.com/fimm20'>Immigrants & Minorities</a>,19,25%,80,39
<a href='https://www.tandfonline.com/tiap20'>Impact Assessment and Project Appraisal</a>,24,59%,65,23
<a href='https://www.tandfonline.com/find20'>India Review</a>,10,26%,111,94
<a href='https://www.tandfonline.com/fint20'>Intelligence and National Security</a>,,,,17
<a href='https://www.tandfonline.com/rict20'>International Critical Thought</a>,17,31%,80,30
<a href='https://www.tandfonline.com/rfjp20'>International Feminist Journal of Politics</a>,77,31%,159,34
<a href='https://www.tandfonline.com/gini20'>International Interactions</a>,59,22%,76,49
<a href='https://www.tandfonline.com/fjhr20'>The International Journal of Human Rights</a>,157,40%,162,23
<a href='https://www.tandfonline.com/ujic20'>International Journal of Intelligence and CounterIntelligence</a>,20,14%,32,90
<a href='https://www.tandfonline.com/mijp20'>International Journal of Political Economy</a>,,,,59
<a href='https://www.tandfonline.com/lpad20'>International Journal of Public Administration</a>,118,55%,150,25
<a href='https://www.tandfonline.com/risp20'>International Journal of Sport Policy and Politics</a>,64,39%,80,27
<a href='https://www.tandfonline.com/finp20'>International Peacekeeping</a>,28,30%,60,14
<a href='https://www.tandfonline.com/upmj20'>International Public Management Journal</a>,15,16%,72,29
<a href='https://www.tandfonline.com/rrpa20'>International Review of Public Administration</a>,44,25%,88,21
<a href='https://www.tandfonline.com/rspe20'>The International Spectator</a>,,,,50
<a href='https://www.tandfonline.com/uitj20'>The International Trade Journal</a>,30,17%,152,27
<a href='https://www.tandfonline.com/mjes20'>The Japanese Political Economy</a>,31,86%,42,25
<a href='https://www.tandfonline.com/wjab20'>Journal of African Business</a>,41,15%,253,25
<a href='https://www.tandfonline.com/rapp20'>Journal of Asian Public Policy</a>,4,11%,54,12
<a href='https://www.tandfonline.com/rjau20'>Journal of Australian Studies</a>,66,59%,92,19
<a href='https://www.tandfonline.com/cjsb20'>Journal of Balkan and Near Eastern Studies</a>,26,36%,60,17
<a href='https://www.tandfonline.com/rbal20'>Journal of Baltic Studies</a>,40,41%,46,12
<a href='https://www.tandfonline.com/rjbs20'>Journal of Borderlands Studies</a>,37,36%,79,18
<a href='https://www.tandfonline.com/rcis20'>Journal of Civil Society</a>,102,25%,158,41
<a href='https://www.tandfonline.com/fcpa20'>Journal of Comparative Policy Analysis: Research and Practice</a>,10,31%,79,66
<a href='https://www.tandfonline.com/cjca20'>Journal of Contemporary African Studies</a>,55,40%,148,57
<a href='https://www.tandfonline.com/cjea20'>Journal of Contemporary European Studies</a>,61,49%,73,8
<a href='https://www.tandfonline.com/rjde20'>Journal of Development Effectiveness</a>,84,17%,154,21
<a href='https://www.tandfonline.com/vece20'>The Journal of Economic Education</a>,8,23%,96,25
<a href='https://www.tandfonline.com/gpre20'>Journal of Economic Policy Reform</a>,22,6%,124,31
"<a href='https://www.tandfonline.com/fbep20'>Journal of Elections, Public Opinion and Parties</a>",63,32%,70,22
<a href='https://www.tandfonline.com/cjms20'>Journal of Ethnic and Migration Studies</a>,23,13%,81,17
<a href='https://www.tandfonline.com/geui20'>Journal of European Integration</a>,34,26%,102,21
<a href='https://www.tandfonline.com/rjpp20'>Journal of European Public Policy</a>,3,25%,49,20
<a href='https://www.tandfonline.com/rgsm20'>Journal of Global Sport Management</a>,58,27%,83,34
<a href='https://www.tandfonline.com/cjhd20'>Journal of Human Development and Capabilities</a>,70,21%,122,17
<a href='https://www.tandfonline.com/cjhr20'>Journal of Human Rights</a>,19,24%,94,71
<a href='https://www.tandfonline.com/wimm20'>Journal of Immigrant & Refugee Studies</a>,53,31%,86,26
<a href='https://www.tandfonline.com/witp20'>Journal of Information Technology & Politics</a>,36,22%,69,21
<a href='https://www.tandfonline.com/rjih20'>Journal of Intelligence History</a>,99,77%,170,9
<a href='https://www.tandfonline.com/risb20'>Journal of Intervention and Statebuilding</a>,25,41%,296,47
<a href='https://www.tandfonline.com/fjls20'>The Journal of Legislative Studies</a>,40,37%,66,21
<a href='https://www.tandfonline.com/zjma20'>Journal of Market Access & Health Policy</a>,90,88%,90,19
<a href='https://www.tandfonline.com/smil20'>Journal of Military Ethics</a>,,,,20
<a href='https://www.tandfonline.com/rmis20'>Journal of Modern Italian Studies</a>,43,55%,64,37
<a href='https://www.tandfonline.com/fnas20'>The Journal of North African Studies</a>,75,29%,107,11
<a href='https://www.tandfonline.com/fjps20'>The Journal of Peasant Studies</a>,44,20%,108,66
"<a href='https://www.tandfonline.com/rpic20'>Journal of Policing, Intelligence and Counter Terrorism</a>",0,29%,69,17
<a href='https://www.tandfonline.com/cjpi20'>Journal of Political Ideologies</a>,,,,15
<a href='https://www.tandfonline.com/wplm20'>Journal of Political Marketing</a>,28,15%,80,26
<a href='https://www.tandfonline.com/rpow21'>Journal of Political Power</a>,,,,26
<a href='https://www.tandfonline.com/upse20'>Journal of Political Science Education</a>,134,45%,280,28
<a href='https://www.tandfonline.com/upae20'>Journal of Public Affairs Education</a>,12,31%,56,31
<a href='https://www.tandfonline.com/fslv20'>The Journal of Slavic Military Studies</a>,,,,74
<a href='https://www.tandfonline.com/cjss20'>Journal of Southern African Studies</a>,,,,35
<a href='https://www.tandfonline.com/fjss20'>Journal of Strategic Studies</a>,0,16%,83,28
<a href='https://www.tandfonline.com/wtnm20'>Journal of Transnational Management</a>,71,18%,157,27
<a href='https://www.tandfonline.com/ywac20'>Journal of War & Culture Studies</a>,68,35%,95,41
"<a href='https://www.tandfonline.com/wwap20'>Journal of Women, Politics & Policy</a>",0,11%,94,36
<a href='https://www.tandfonline.com/flgs20'>Local Government Studies</a>,19,16%,72,16
<a href='https://www.tandfonline.com/rmir20'>The Mariner's Mirror</a>,,,,57
<a href='https://www.tandfonline.com/rnmf20'>Maritime Affairs: Journal of the National Maritime Foundation of India</a>,,,,11
"<a href='https://www.tandfonline.com/fmcs20'>Medicine, Conflict and Survival</a>",268,,230,11
<a href='https://www.tandfonline.com/fmed20'>Mediterranean Politics</a>,10,24%,87,14
<a href='https://www.tandfonline.com/cnid20'>National Identities</a>,85,44%,132,23
<a href='https://www.tandfonline.com/fnep20'>Nationalism and Ethnic Politics</a>,20,41%,61,95
<a href='https://www.tandfonline.com/cnpe20'>New Political Economy</a>,22,24%,86,14
<a href='https://www.tandfonline.com/cnps20'>New Political Science</a>,55,38%,80,16
<a href='https://www.tandfonline.com/rnpr20'>The Nonproliferation Review</a>,170,,183,82
<a href='https://www.tandfonline.com/rnhr20'>Nordic Journal of Human Rights</a>,52,60%,94,84
<a href='https://www.tandfonline.com/rnor20'>NORMA</a>,64,42%,103,12
<a href='https://www.tandfonline.com/rpre20'>The Pacific Review</a>,16,16%,64,14
"<a href='https://www.tandfonline.com/rper20'>Parliaments, Estates and Representation</a>",,,,22
<a href='https://www.tandfonline.com/cper20'>Peace Review</a>,,,,94
<a href='https://www.tandfonline.com/rpcb20'>Peacebuilding</a>,37,38%,136,17
<a href='https://www.tandfonline.com/vpps20'>Perspectives on Political Science</a>,103,50%,112,24
<a href='https://www.tandfonline.com/rpol20'>The Polar Journal</a>,,,,20
<a href='https://www.tandfonline.com/upcp20'>Political Communication</a>,16,6%,94,36
"<a href='https://www.tandfonline.com/rpgi20'>Politics, Groups, and Identities</a>",56,40%,68,18
"<a href='https://www.tandfonline.com/ftmp21'>Politics, Religion & Ideology</a>",7,12%,110,11
<a href='https://www.tandfonline.com/cpce20'>Post-Communist Economies</a>,25,20%,87,41
<a href='https://www.tandfonline.com/rpsa20'>Post-Soviet Affairs</a>,18,18%,92,16
<a href='https://www.tandfonline.com/mppc20'>Problems of Post-Communism</a>,98,34%,114,42
<a href='https://www.tandfonline.com/rtpg20'>The Professional Geographer</a>,60,66%,61,71
<a href='https://www.tandfonline.com/rpxm20'>Public Management Review</a>,28,15%,68,16
<a href='https://www.tandfonline.com/rpmm20'>Public Money & Management</a>,3,19%,64,21
<a href='https://www.tandfonline.com/mpmr20'>Public Performance & Management Review</a>,41,14%,99,26
<a href='https://www.tandfonline.com/cres20'>Regional Studies</a>,23,18%,89,38
"<a href='https://www.tandfonline.com/crss20'>Religion, State and Society</a>",105,22%,190,48
<a href='https://www.tandfonline.com/rrep20'>Representation</a>,64,39%,109,21
<a href='https://www.tandfonline.com/crea20'>Review of African Political Economy</a>,45,20%,86,40
<a href='https://www.tandfonline.com/rfia20'>The Review of Faith & International Affairs</a>,,,,59
<a href='https://www.tandfonline.com/rrip20'>Review of International Political Economy</a>,5,15%,82,20
<a href='https://www.tandfonline.com/rrse20'>Review of Social Economy</a>,2,18%,95,19
<a href='https://www.tandfonline.com/ctrt20'>The Round Table</a>,,,,38
<a href='https://www.tandfonline.com/rusi20'>The RUSI Journal</a>,70,57%,84,23
<a href='https://www.tandfonline.com/rsaf20'>Safundi</a>,85,41%,114,34
<a href='https://www.tandfonline.com/fsst20'>Security Studies</a>,12,7%,82,44
<a href='https://www.tandfonline.com/rsix20'>The Sixties</a>,,,,35
<a href='https://www.tandfonline.com/ysla20'>Slavonica</a>,,,,12
<a href='https://www.tandfonline.com/fswi20'>Small Wars & Insurgencies</a>,13,40%,30,18
<a href='https://www.tandfonline.com/csid20'>Social Identities</a>,127,42%,158,17
<a href='https://www.tandfonline.com/csms20'>Social Movement Studies</a>,50,27%,100,15
<a href='https://www.tandfonline.com/csad20'>Socialism and Democracy</a>,,,,48
<a href='https://www.tandfonline.com/rsaj20'>South African Journal of International Affairs</a>,1,49%,68,21
<a href='https://www.tandfonline.com/rsad20'>South Asian Diaspora</a>,,,,18
<a href='https://www.tandfonline.com/fses20'>South European Society and Politics</a>,,,,38
<a href='https://www.tandfonline.com/uops20'>Special Operations Journal</a>,,,,44
<a href='https://www.tandfonline.com/rsih20'>Sport in History</a>,48,49%,60,14
<a href='https://www.tandfonline.com/uspp20'>Statistics and Public Policy</a>,24,31%,86,
<a href='https://www.tandfonline.com/rsan20'>Strategic Analysis</a>,267,,,27
<a href='https://www.tandfonline.com/uter20'>Studies in Conflict & Terrorism</a>,,,,20
"<a href='https://www.tandfonline.com/rtep20'>Territory, Politics, Governance</a>",36,32%,95,31
<a href='https://www.tandfonline.com/ftpv20'>Terrorism and Political Violence</a>,41,17%,69,42
<a href='https://www.tandfonline.com/ftur20'>Turkish Studies</a>,4,14%,60,17
<a href='https://www.tandfonline.com/rwaq20'>The Washington Quarterly</a>,,,,33
<a href='https://www.tandfonline.com/fwep20'>West European Politics</a>,11,24%,62,37
<a href='https://www.tandfonline.com/gwst20'>Women's Studies</a>,41,28%,,27
<a href='https://www.tandfonline.com/uter20'>Studies in Conflict and Terrorism</a>,,,,20
"<a href='https://www.tandfonline.com/wwap20'>Journal of Women, Politics and Policy</a>",0,11%,94,36
<a href='https://www.tandfonline.com/zegp20'>Ethics and Global Politics</a>,3,20%,,22
<a href='https://www.tandfonline.com/rpnz20'>Political Science</a>,66,21%,90,48
<a href='https://www.tandfonline.com/rwaq20'>Washington Quarterly</a>,,,,33
<a href='https://www.tandfonline.com/rbul20'>Bulletin of the Atomic Scientists</a>,,,,42
<a href='https://www.tandfonline.com/fjls20'>Journal of Legislative Studies</a>,40,37%,66,21
<a href='https://www.tandfonline.com/rnpr20'>Nonproliferation Review</a>,170,,183,82
<a href='https://www.tandfonline.com/rifa20'>Israel Journal of Foreign Affairs</a>,,,,37
<a href='https://www.tandfonline.com/rfia20'>Review of Faith and International Affairs</a>,,,,59
